method,metric,mean,sd,n,target_pair
GraphPareto-NSGA-II,uniqueness,0.629453125,0.0173985449834216,10,PARP1_BRD4
GraphPareto-NSGA-II,novelty,0.9825515850031672,0.0008296531211086,10,PARP1_BRD4
GraphPareto-NSGA-II,diversity,0.8251387881995347,0.0130938332734105,10,PARP1_BRD4
GraphPareto-NSGA-II,hypervolume,0.5372527957787316,0.009809106643304,10,PARP1_BRD4
GraphPareto-NSGA-II,igd_plus,0.0267341082134342,0.0079383221252641,10,PARP1_BRD4
GraphPareto-NSGA-II,pareto_size,18.4,3.470510689285432,10,PARP1_BRD4
GraphPareto-NSGA-II,dual_at_6,0.6473573436644483,0.0978443601044486,10,PARP1_BRD4
GraphPareto-NSGA-II,dual_at_6_5,0.5430340952455995,0.113084719001513,10,PARP1_BRD4
GraphPareto-NSGA-II,quality_pass,0.1902735552478676,0.0455245013903501,10,PARP1_BRD4
GraphPareto-NSGA-II,alert_free,0.408842191672114,0.1092623038469801,10,PARP1_BRD4
GraphPareto-NSGA-II,scaffold_diversity,0.5065560598697092,0.0583135956062683,10,PARP1_BRD4
GraphPareto-NSGA-II,qc_hypervolume,0.488366037940423,0.0193303736537277,10,PARP1_BRD4
GraphPareto-NSGA-II,qc_dual_at_6,0.4328899839929523,0.0774555716494185,10,PARP1_BRD4
GraphPareto-NSGA-II,qc_dual_at_6_5,0.3188787226520746,0.1112213959208869,10,PARP1_BRD4
GraphPareto-NSGA-II,qc_dual_at_7,0.0571817411850846,0.0268017621675425,10,PARP1_BRD4
GraphPareto-NSGA-II,qc_best_min,7.568635333333352,0.1503694114260678,10,PARP1_BRD4
