"pair_key","target_pair","method","method_key","source_seed","within_seed_rank","compound_id","canonical_smiles","predicted_target_1","predicted_target_2","min_predicted_activity","mean_predicted_activity","qed","sa","logp","source_file","BRD4","EGFR","PARP1","VEGFR2","target_1_vina","target_2_vina","dual_worst_vina","dual_mean_vina","dual_pass","nearest_train_similarity","average_novelty_1_minus_tanimoto","exact_training_structure_novel"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","2","CLV_AS44_02","Cc1ccsc1NC(=O)Nc1ccnc(OC(C)C)c1","7.7497239112854","7.711312770843506","7.711312770843506","7.730518341064453","0.8981050872324792","2.4382251360507787","3.8827200000000017","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.6","","-8.3","-6.6","-8.3","-6.6","-7.45","False","0.4918032786885246","0.5081967213114754","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","3","CLV_AS44_03","Cc1ccsc1NC(=O)Nc1ccnc(S(C)(=O)=O)c1","7.829132556915283","7.704343795776367","7.704343795776367","7.766738176345825","0.9112640730384928","2.524991879307521","2.4990200000000007","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-8.3","-7.0","-8.3","-7.0","-7.65","True","0.4629629629629629","0.5370370370370371","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","4","CLV_AS44_04","Cc1ccsc1NC(=O)Nc1ccnc(Oc2ccncn2)c1","7.687067985534668","7.727100372314453","7.687067985534668","7.70708417892456","0.7628195487815368","2.636767097887727","3.6778200000000014","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.5","","-8.7","-7.5","-8.7","-7.5","-8.1","True","0.45614035087719296","0.543859649122807","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","5","CLV_AS44_05","Cc1ccsc1NC(=O)Nc1ccnc(Nc2nccs2)c1","7.931587696075439","7.6843647956848145","7.6843647956848145","7.807976245880127","0.6659378685017576","2.5660647033406043","4.295620000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-8.7","-7.0","-8.7","-7.0","-7.85","True","0.5283018867924528","0.4716981132075472","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","6","CLV_AS44_06","Cc1ccsc1C(=O)Nc1ccnc(NC(=O)Nc2ccncc2F)c1","7.693659782409668","7.684364318847656","7.684364318847656","7.689012050628662","0.6483545233487262","2.3880978886320605","3.881920000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-8.1","","-10.1","-8.1","-10.1","-8.1","-9.1","True","0.5178571428571429","0.4821428571428571","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","7","CLV_AS44_07","Cc1ccsc1NC(=O)Nc1ccnc(N(C)S(C)(=O)=O)c1","7.818093299865723","7.682168006896973","7.682168006896973","7.750130653381348","0.894339095705661","2.653294895648296","2.49132","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-8.2","-7.0","-8.2","-7.0","-7.6","True","0.41379310344827586","0.5862068965517242","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","8","CLV_AS44_08","Cc1ccsc1C(=O)Nc1cc(NC(=O)Nc2ccco2)ccn1","7.721858501434326","7.674402236938477","7.674402236938477","7.698130369186401","0.6688665416420515","2.515114409341189","3.940820000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.6","","-9.4","-7.6","-9.4","-7.6","-8.5","True","0.5","0.5","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","9","CLV_AS44_09","Cc1ccsc1C(=O)Nc1ccnc(NC(=O)Nc2ccco2)c1","7.707940101623535","7.672394275665283","7.672394275665283","7.690167188644409","0.6688665416420516","2.5162140748930284","3.94082","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.8","","-9.2","-7.8","-9.2","-7.8","-8.5","True","0.5","0.5","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","10","CLV_AS44_10","Cc1ccsc1NC(=O)Nc1ccnc(OCc2ccco2)c1","7.67216682434082","7.745736122131348","7.67216682434082","7.708951473236084","0.7327684237522079","2.487586156441113","4.267520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.4","","-9.0","-7.4","-9.0","-7.4","-8.2","True","0.4307692307692308","0.5692307692307692","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","1","CLV_AS45_01","Cc1nnc(NC(=O)Nc2ccnc(-c3sccc3C)c2)s1","7.644468784332275","7.639442443847656","7.639442443847656","7.641955614089966","0.7620382884663961","2.539729950593351","3.9224400000000017","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.3","","-8.9","-7.3","-8.9","-7.3","-8.1","True","0.58","0.42000000000000004","True"
