compound_id,nearest_train_similarity,average_novelty_1_minus_tanimoto,exact_training_structure_novel
RNV_AS48_09,0.43636363636363634,0.5636363636363637,True
RNV_AS48_10,0.47540983606557374,0.5245901639344263,True
RNV_AS49_01,0.5185185185185185,0.4814814814814815,True
RNV_AS49_02,0.3783783783783784,0.6216216216216216,True
RNV_AS49_03,0.5882352941176471,0.4117647058823529,True
RNV_AS49_04,0.5490196078431373,0.4509803921568627,True
RNV_AS49_05,0.6612903225806451,0.33870967741935487,True
RNV_AS49_06,0.5789473684210527,0.42105263157894735,True
RNV_AS49_07,0.43333333333333335,0.5666666666666667,True
RNV_AS49_08,0.5652173913043478,0.4347826086956522,True
RNV_AS49_09,0.62,0.38,True
RNV_AS49_10,0.6944444444444444,0.3055555555555556,True
RNV_AS50_01,0.6170212765957447,0.3829787234042553,True
RNV_AS50_02,0.4181818181818181,0.5818181818181819,True
RNV_AS50_03,0.423728813559322,0.576271186440678,True
RNV_AS50_04,0.4915254237288136,0.5084745762711864,True
RNV_AS50_05,0.36666666666666664,0.6333333333333333,True
RNV_AS50_06,0.4444444444444444,0.5555555555555556,True
RNV_AS50_07,0.4915254237288136,0.5084745762711864,True
RNV_AS50_08,0.425531914893617,0.574468085106383,True
RNV_AS50_09,0.6888888888888889,0.3111111111111111,True
RNV_AS50_10,0.5,0.5,True
RNV_AS51_01,0.42,0.5800000000000001,True
RNV_AS51_02,0.6595744680851063,0.34042553191489366,True
RNV_AS51_03,0.484375,0.515625,True
RNV_AS51_04,0.5,0.5,True
RNV_AS51_05,0.5737704918032787,0.42622950819672134,True
RNV_AS51_06,0.6785714285714286,0.3214285714285714,True
RNV_AS51_07,0.5283018867924528,0.4716981132075472,True
RNV_AS51_08,0.37142857142857144,0.6285714285714286,True
RNV_AS51_09,0.6078431372549019,0.3921568627450981,True
RNV_AS51_10,0.47619047619047616,0.5238095238095238,True
DRX_AS42_01,0.8392857142857143,0.1607142857142857,True
DRX_AS42_02,0.6851851851851852,0.31481481481481477,True
DRX_AS42_03,0.6785714285714286,0.3214285714285714,True
DRX_AS42_04,0.7346938775510204,0.26530612244897955,True
DRX_AS42_05,0.8166666666666667,0.18333333333333335,True
DRX_AS42_06,0.9761904761904762,0.023809523809523836,True
DRX_AS42_07,0.7647058823529411,0.23529411764705888,True
DRX_AS42_08,0.6,0.4,True
DRX_AS42_09,0.5294117647058824,0.47058823529411764,True
DRX_AS42_10,0.6307692307692307,0.36923076923076925,True
DRX_AS43_01,0.6,0.4,True
DRX_AS43_02,0.8113207547169812,0.18867924528301883,True
DRX_AS43_03,0.5357142857142857,0.4642857142857143,True
DRX_AS43_04,0.5,0.5,True
DRX_AS43_05,0.6206896551724138,0.3793103448275862,True
DRX_AS43_06,0.7636363636363637,0.23636363636363633,True
DRX_AS43_07,0.6153846153846154,0.3846153846153846,True
DRX_AS43_08,0.417910447761194,0.582089552238806,True
DRX_AS43_09,0.5689655172413793,0.43103448275862066,True
DRX_AS43_10,0.6491228070175439,0.3508771929824561,True
DRX_AS44_01,0.6666666666666666,0.33333333333333337,True
DRX_AS44_02,0.56,0.43999999999999995,True
DRX_AS44_03,0.64,0.36,True
DRX_AS44_04,0.6727272727272727,0.32727272727272727,True
DRX_AS44_05,0.5806451612903226,0.4193548387096774,True
DRX_AS44_06,0.85,0.15000000000000002,True
DRX_AS44_07,0.8780487804878049,0.12195121951219512,True
DRX_AS44_08,1.0,0.0,False
DRX_AS44_09,1.0,0.0,False
DRX_AS44_10,0.660377358490566,0.339622641509434,True
DRX_AS45_01,0.6829268292682927,0.31707317073170727,True
DRX_AS45_02,0.6274509803921569,0.37254901960784315,True
DRX_AS45_03,0.5901639344262295,0.4098360655737705,True
DRX_AS45_04,0.7192982456140351,0.2807017543859649,True
DRX_AS45_05,0.6666666666666666,0.33333333333333337,True
DRX_AS45_06,0.75,0.25,True
DRX_AS45_07,0.7291666666666666,0.27083333333333337,True
DRX_AS45_08,0.5172413793103449,0.48275862068965514,True
DRX_AS45_09,0.6,0.4,True
DRX_AS45_10,0.6792452830188679,0.3207547169811321,True
DRX_AS46_01,0.5172413793103449,0.48275862068965514,True
DRX_AS46_02,0.78,0.21999999999999997,True
DRX_AS46_03,0.5625,0.4375,True
DRX_AS46_04,0.673469387755102,0.326530612244898,True
DRX_AS46_05,0.6507936507936508,0.3492063492063492,True
DRX_AS46_06,0.7450980392156863,0.2549019607843137,True
DRX_AS46_07,0.6607142857142857,0.3392857142857143,True
DRX_AS46_08,0.5454545454545454,0.4545454545454546,True
DRX_AS46_09,0.6226415094339622,0.37735849056603776,True
DRX_AS46_10,0.62,0.38,True
DRX_AS47_01,0.6938775510204082,0.30612244897959184,True
DRX_AS47_02,0.5964912280701754,0.4035087719298246,True
DRX_AS47_03,0.7735849056603774,0.2264150943396226,True
DRX_AS47_04,0.7547169811320755,0.24528301886792447,True
DRX_AS47_05,1.0,0.0,False
DRX_AS47_06,1.0,0.0,False
DRX_AS47_07,0.7692307692307693,0.23076923076923073,True
DRX_AS47_08,0.7692307692307693,0.23076923076923073,True
DRX_AS47_09,0.5102040816326531,0.4897959183673469,True
DRX_AS47_10,0.5490196078431373,0.4509803921568627,True
DRX_AS48_01,0.7058823529411765,0.2941176470588235,True
DRX_AS48_02,0.6727272727272727,0.32727272727272727,True
DRX_AS48_03,0.5,0.5,True
DRX_AS48_04,0.5964912280701754,0.4035087719298246,True
DRX_AS48_05,0.58,0.42000000000000004,True
DRX_AS48_06,0.65,0.35,True
DRX_AS48_07,0.75,0.25,True
DRX_AS48_08,0.6111111111111112,0.38888888888888884,True
DRX_AS48_09,0.6304347826086957,0.3695652173913043,True
DRX_AS48_10,0.660377358490566,0.339622641509434,True
DRX_AS49_01,0.6206896551724138,0.3793103448275862,True
DRX_AS49_02,0.6,0.4,True
DRX_AS49_03,0.6666666666666666,0.33333333333333337,True
DRX_AS49_04,1.0,0.0,False
DRX_AS49_05,1.0,0.0,False
DRX_AS49_06,0.6290322580645161,0.3709677419354839,True
DRX_AS49_07,0.5862068965517241,0.4137931034482759,True
DRX_AS49_08,0.6216216216216216,0.3783783783783784,True
DRX_AS49_09,0.6956521739130435,0.30434782608695654,True
DRX_AS49_10,1.0,0.0,False
DRX_AS50_01,1.0,0.0,False
DRX_AS50_02,0.5882352941176471,0.4117647058823529,True
DRX_AS50_03,0.5087719298245614,0.49122807017543857,True
DRX_AS50_04,0.6122448979591837,0.3877551020408163,True
DRX_AS50_05,0.6071428571428571,0.3928571428571429,True
DRX_AS50_06,0.6774193548387096,0.32258064516129037,True
DRX_AS50_07,0.7307692307692307,0.2692307692307693,True
DRX_AS50_08,0.660377358490566,0.339622641509434,True
DRX_AS50_09,0.7058823529411765,0.2941176470588235,True
DRX_AS50_10,0.6181818181818182,0.38181818181818183,True
DRX_AS51_01,0.5869565217391305,0.4130434782608695,True
DRX_AS51_02,1.0,0.0,False
DRX_AS51_03,0.6304347826086957,0.3695652173913043,True
DRX_AS51_04,0.7333333333333333,0.2666666666666667,True
DRX_AS51_05,0.75,0.25,True
DRX_AS51_06,0.46153846153846156,0.5384615384615384,True
DRX_AS51_07,0.6666666666666666,0.33333333333333337,True
DRX_AS51_08,0.5223880597014925,0.4776119402985075,True
DRX_AS51_09,0.9545454545454546,0.045454545454545414,True
DRX_AS51_10,0.6739130434782609,0.32608695652173914,True
MLS_AS42_01,0.56,0.43999999999999995,True
MLS_AS42_02,0.5849056603773585,0.41509433962264153,True
MLS_AS42_03,0.5357142857142857,0.4642857142857143,True
MLS_AS42_04,0.43661971830985913,0.5633802816901409,True
MLS_AS42_05,0.38461538461538464,0.6153846153846154,True
MLS_AS42_06,0.4477611940298507,0.5522388059701493,True
MLS_AS42_07,0.49230769230769234,0.5076923076923077,True
MLS_AS42_08,0.453125,0.546875,True
MLS_AS42_09,0.42028985507246375,0.5797101449275363,True
MLS_AS42_10,0.3972602739726027,0.6027397260273972,True
MLS_AS43_01,0.5660377358490566,0.4339622641509434,True
MLS_AS43_02,0.3818181818181818,0.6181818181818182,True
MLS_AS43_03,0.673469387755102,0.326530612244898,True
MLS_AS43_04,0.3968253968253968,0.6031746031746033,True
MLS_AS43_05,0.35714285714285715,0.6428571428571428,True
MLS_AS43_06,0.44594594594594594,0.5540540540540541,True
MLS_AS43_07,0.453125,0.546875,True
MLS_AS43_08,0.4722222222222222,0.5277777777777778,True
MLS_AS43_09,0.3448275862068966,0.6551724137931034,True
MLS_AS43_10,0.34285714285714286,0.6571428571428571,True
MLS_AS44_01,0.3508771929824561,0.6491228070175439,True
MLS_AS44_02,0.48,0.52,True
MLS_AS44_03,0.421875,0.578125,True
MLS_AS44_04,0.3448275862068966,0.6551724137931034,True
MLS_AS44_05,0.453125,0.546875,True
MLS_AS44_06,0.34375,0.65625,True
MLS_AS44_07,0.3584905660377358,0.6415094339622642,True
MLS_AS44_08,0.3670886075949367,0.6329113924050633,True
MLS_AS44_09,0.4406779661016949,0.5593220338983051,True
MLS_AS44_10,0.38571428571428573,0.6142857142857143,True
MLS_AS45_01,0.4736842105263157,0.5263157894736843,True
MLS_AS45_02,0.4,0.6,True
MLS_AS45_03,0.5333333333333333,0.4666666666666667,True
MLS_AS45_04,0.4084507042253521,0.5915492957746479,True
MLS_AS45_05,0.40625,0.59375,True
MLS_AS45_06,0.3770491803278688,0.6229508196721312,True
MLS_AS45_07,0.4,0.6,True
MLS_AS45_08,0.4166666666666667,0.5833333333333333,True
MLS_AS45_09,0.3333333333333333,0.6666666666666667,True
MLS_AS45_10,0.4444444444444444,0.5555555555555556,True
MLS_AS46_01,0.4776119402985074,0.5223880597014926,True
MLS_AS46_02,0.4626865671641791,0.5373134328358209,True
MLS_AS46_03,0.3116883116883117,0.6883116883116883,True
MLS_AS46_04,0.4482758620689655,0.5517241379310345,True
MLS_AS46_05,0.4166666666666667,0.5833333333333333,True
MLS_AS46_06,0.4918032786885246,0.5081967213114754,True
MLS_AS46_07,0.358974358974359,0.641025641025641,True
MLS_AS46_08,0.4262295081967213,0.5737704918032787,True
MLS_AS46_09,0.30985915492957744,0.6901408450704225,True
MLS_AS46_10,0.4492753623188406,0.5507246376811594,True
MLS_AS47_01,0.3552631578947368,0.6447368421052633,True
MLS_AS47_02,0.4736842105263157,0.5263157894736843,True
MLS_AS47_03,0.4477611940298507,0.5522388059701493,True
MLS_AS47_04,0.3559322033898305,0.6440677966101696,True
MLS_AS47_05,0.38461538461538464,0.6153846153846154,True
MLS_AS47_06,0.4788732394366197,0.5211267605633803,True
MLS_AS47_07,0.373134328358209,0.6268656716417911,True
MLS_AS47_08,0.3709677419354839,0.6290322580645161,True
MLS_AS47_09,0.375,0.625,True
MLS_AS47_10,0.3620689655172414,0.6379310344827587,True
MLS_AS48_01,0.3428571428571428,0.6571428571428573,True
MLS_AS48_02,0.4354838709677419,0.5645161290322581,True
MLS_AS48_03,0.4098360655737705,0.5901639344262295,True
MLS_AS48_04,0.4477611940298507,0.5522388059701493,True
MLS_AS48_05,0.43548387096774194,0.564516129032258,True
MLS_AS48_06,0.75,0.25,True
MLS_AS48_07,0.36923076923076925,0.6307692307692307,True
MLS_AS48_08,0.4727272727272727,0.5272727272727273,True
MLS_AS48_09,0.31746031746031744,0.6825396825396826,True
MLS_AS48_10,0.4074074074074074,0.5925925925925926,True
MLS_AS49_01,0.5689655172413793,0.43103448275862066,True
MLS_AS49_02,0.6792452830188679,0.3207547169811321,True
MLS_AS49_03,0.4761904761904761,0.523809523809524,True
MLS_AS49_04,0.3787878787878788,0.6212121212121212,True
