pair_key,target_pair,method,source_seed,n,best,mean,median,variance,dual_pass_n,dual_pass_rate,qed,sa,logp,average_novelty,exact_structure_novelty_rate
pairB,PARP1/BRD4,POLYGON,43,10,-8.0,-7.58,-7.65,0.1484444444444445,9,0.9,0.7150029940110184,2.677594508956828,1.5880360000000002,0.4750165041129815,1.0
pairB,PARP1/BRD4,POLYGON,44,10,-9.0,-7.790000000000001,-7.85,0.32099999999999923,9,0.9,0.7373098126299396,2.70815999007421,1.6632919999999998,0.4274794906300796,1.0
pairB,PARP1/BRD4,POLYGON,45,10,-9.0,-7.33,-7.25,0.6690000000000005,7,0.7,0.7555696812392725,2.878070078875209,1.4092740000000001,0.534418523223423,1.0
pairB,PARP1/BRD4,POLYGON,46,10,-8.2,-7.6,-7.699999999999999,0.23555555555555518,8,0.8,0.7649321375882988,2.727804638698321,2.0809520000000004,0.46818858951413783,1.0
pairB,PARP1/BRD4,POLYGON,47,10,-8.7,-8.02,-8.2,0.4084444444444444,9,0.9,0.6824476784947271,2.745648839014282,2.115298,0.48455863050117315,1.0
pairB,PARP1/BRD4,POLYGON,48,10,-8.5,-7.67,-7.75,0.4112222222222223,8,0.8,0.7428564142566094,2.880500663000186,1.9515620000000005,0.5038861472938251,1.0
pairB,PARP1/BRD4,POLYGON,49,10,-9.0,-7.99,-7.9,0.38100000000000034,10,1.0,0.7114330804721265,2.528627590751937,2.3831940000000005,0.4370764001442847,1.0
pairB,PARP1/BRD4,POLYGON,50,10,-8.2,-7.42,-7.35,0.16844444444444429,9,0.9,0.7702406481380044,2.8657876574188648,1.6163779999999999,0.48242524670938236,1.0
pairB,PARP1/BRD4,POLYGON,51,10,-8.9,-7.65,-7.45,0.9316666666666676,7,0.7,0.7404787525393277,2.600265709081481,2.1869980000000004,0.433222373121566,1.0
pairB,PARP1/BRD4,REINVENT4,42,10,-8.1,-7.45,-7.4,0.1938888888888885,9,0.9,0.7314560149746429,2.4921884452234986,2.342426000000001,0.4476087287920569,1.0
pairB,PARP1/BRD4,REINVENT4,43,10,-8.4,-7.81,-7.95,0.23877777777777784,9,0.9,0.7239948436480512,2.3599372396017038,2.7228380000000003,0.47300845861500695,1.0
pairB,PARP1/BRD4,REINVENT4,44,10,-8.2,-7.65,-7.65,0.2294444444444444,9,0.9,0.7745818368885531,2.6569631950172004,3.1381120000000013,0.4497170565993609,1.0
pairB,PARP1/BRD4,REINVENT4,45,10,-7.7,-7.07,-7.2,0.2534444444444445,6,0.6,0.7868190570890918,2.787080720334246,1.36775,0.517449399299147,1.0
pairB,PARP1/BRD4,REINVENT4,46,10,-8.0,-7.040000000000001,-7.1,0.716,5,0.5,0.7300954250555486,3.248891891128978,0.9151779999999998,0.5820759215387448,1.0
pairB,PARP1/BRD4,REINVENT4,47,10,-8.0,-7.15,-7.15,0.5472222222222225,6,0.6,0.7679856025647747,2.796657282487657,1.342958,0.45454670271062714,1.0
pairB,PARP1/BRD4,REINVENT4,48,10,-8.7,-8.02,-8.0,0.19511111111111112,10,1.0,0.6980155692532314,2.5316195047191705,2.517786000000001,0.5274184875353669,1.0
pairB,PARP1/BRD4,REINVENT4,49,10,-8.4,-7.32,-7.5,0.5328888888888891,8,0.8,0.7398043836261884,2.775949627721738,2.314346000000001,0.521762371215858,1.0
pairB,PARP1/BRD4,REINVENT4,50,10,-8.1,-7.38,-7.45,0.23511111111111102,7,0.7,0.8148589636074334,3.2121476042619883,1.6782760000000003,0.5493981213231462,1.0
pairB,PARP1/BRD4,REINVENT4,51,10,-8.9,-7.12,-6.9,1.0351111111111109,5,0.5,0.8493716322822799,2.7532534989720516,2.0191980000000007,0.4946822876197305,1.0
pairB,PARP1/BRD4,DrugEx v2,42,10,-8.5,-7.7700000000000005,-7.65,0.32011111111111096,9,0.9,0.7684915425190508,2.459344567426981,1.555582,0.41323599178688764,1.0
pairB,PARP1/BRD4,DrugEx v2,43,10,-8.2,-7.890000000000001,-8.0,0.09433333333333321,10,1.0,0.7817464571066207,2.446284280053519,2.3125680000000006,0.3185116775898117,1.0
pairB,PARP1/BRD4,DrugEx v2,44,10,-8.6,-7.459999999999999,-7.55,0.5959999999999999,7,0.7,0.7626029001241778,2.53841852157012,2.3116080000000006,0.29242278011010414,0.9
pairB,PARP1/BRD4,DrugEx v2,45,10,-8.4,-7.26,-7.1,0.6604444444444445,6,0.6,0.7876540031905147,2.6060115152933165,2.2463620000000004,0.3102167977946396,0.8
pairB,PARP1/BRD4,DrugEx v2,46,10,-8.6,-7.540000000000001,-7.4,0.2871111111111112,9,0.9,0.7978207285622216,2.648245456121681,1.87089,0.25467734894848115,0.8
pairB,PARP1/BRD4,DrugEx v2,47,10,-7.8,-7.2299999999999995,-7.45,0.2823333333333331,7,0.7,0.7938915221682687,2.6814237602640403,2.2894700000000006,0.312137754804007,1.0
pairB,PARP1/BRD4,DrugEx v2,48,10,-8.2,-7.459999999999999,-7.4,0.36044444444444446,8,0.8,0.7930161968294147,2.399506468723156,1.8114460000000001,0.3459955417257342,1.0
pairB,PARP1/BRD4,DrugEx v2,49,10,-9.0,-7.959999999999999,-7.75,0.4404444444444448,9,0.9,0.749510735573394,2.524996816587697,1.541686,0.3625625355596001,1.0
pairB,PARP1/BRD4,DrugEx v2,50,10,-8.1,-7.209999999999999,-7.1,0.35211111111111104,5,0.5,0.8004674553601854,2.4722969695934194,2.3156040000000004,0.32797655351703486,0.9
pairB,PARP1/BRD4,DrugEx v2,51,10,-8.1,-7.6899999999999995,-7.8,0.2565555555555552,9,0.9,0.8029690658909031,2.3106098045763255,2.4943500000000003,0.18375196500123808,0.6
pairB,PARP1/BRD4,MO-LSO,42,10,-8.6,-7.720000000000001,-7.75,0.40622222222222193,8,0.8,0.7736103398555347,2.7375310112277336,2.3467400000000005,0.45061341931646287,1.0
pairB,PARP1/BRD4,MO-LSO,43,10,-8.8,-7.7,-7.6,0.3511111111111115,10,1.0,0.7573045533498404,2.8179566935889087,1.770336,0.49013857685508827,1.0
pairB,PARP1/BRD4,MO-LSO,44,10,-8.4,-7.390000000000001,-7.6,0.7876666666666661,7,0.7,0.7195488884824994,3.0872557927692736,2.1233720000000003,0.5300411860893486,1.0
pairB,PARP1/BRD4,MO-LSO,45,10,-8.7,-8.01,-8.2,0.45655555555555544,9,0.9,0.7598622973934103,2.9300071453322714,2.0781940000000003,0.5031800564762617,1.0
pairB,PARP1/BRD4,MO-LSO,46,10,-8.6,-7.85,-7.85,0.22055555555555553,10,1.0,0.7194634338432223,2.850452445800677,2.2759980000000004,0.49893470050758715,1.0
pairB,PARP1/BRD4,MO-LSO,47,10,-8.6,-7.83,-7.85,0.24011111111111097,9,0.9,0.8015918596421996,2.5885528203963277,2.4161100000000006,0.4692574289004967,1.0
pairB,PARP1/BRD4,MO-LSO,48,10,-8.8,-7.7,-7.699999999999999,0.48666666666666714,8,0.8,0.7770132873977087,2.843647550412847,1.88487,0.5054531784825965,1.0
pairB,PARP1/BRD4,MO-LSO,49,10,-8.4,-7.25,-7.300000000000001,0.6027777777777781,7,0.7,0.794836973530101,2.901477383451745,2.3411640000000005,0.500715955168044,1.0
