smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)c(F)c3)nc2n1C1CCCC1,6.28,1,0.0,6.28,6.28,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3)nc2n1C1CCCC1,6.33,1,0.0,6.33,6.33,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3Cl)nc2n1C1CCCC1,7.88,1,0.0,7.88,7.88,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3F)nc2n1C1CCCC1,6.05,1,0.0,6.05,6.05,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)cc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cn3)nc2n1C1CCCC1,6.38,1,0.0,6.38,6.38,2025,2025,1,1,c1ccc2[nH]c(-c3ccc(Nc4ncc5ccn(C6CCCC6)c5n4)nc3)nc2c1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC(c5nc6c(C(N)=O)cccc6[nH]5)C4)cc3Cl)nc2n1C1CCCC1,6.61,1,0.0,6.61,6.61,2025,2025,1,1,O=C(c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1)N1CC(c2nc3ccccc3[nH]2)C1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CCC(c5nc6c(C(N)=O)cccc6[nH]5)C4)cc3Cl)nc2n1C1CCCC1,6.95,1,0.0,6.95,6.95,2025,2025,1,1,O=C(c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1)N1CCC(c2nc3ccccc3[nH]2)C1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)NCC4CCC(c5nc6c(C(N)=O)cccc6[nH]5)CC4)cc3Cl)nc2n1C1CCCC1,6.46,1,0.0,6.46,6.46,2025,2025,1,1,O=C(NCC1CCC(c2nc3ccccc3[nH]2)CC1)c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)NCCCCc4nc5c(C(N)=O)cccc5[nH]4)cc3Cl)nc2n1C1CCCC1,6.73,1,0.0,6.73,6.73,2025,2025,1,1,O=C(NCCCCc1nc2ccccc2[nH]1)c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)NCCCc4nc5c(C(N)=O)cccc5[nH]4)cc3Cl)nc2n1C1CCCC1,6.44,1,0.0,6.44,6.44,2025,2025,1,1,O=C(NCCCc1nc2ccccc2[nH]1)c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)NCCc4nc5c(C(N)=O)cccc5[nH]4)cc3Cl)nc2n1C1CCCC1,6.3,1,0.0,6.3,6.3,2025,2025,1,1,O=C(NCCc1nc2ccccc2[nH]1)c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)NCc4nc5c(C(N)=O)cccc5[nH]4)cc3Cl)nc2n1C1CCCC1,6.09,1,0.0,6.09,6.09,2025,2025,1,1,O=C(NCc1nc2ccccc2[nH]1)c1ccc(Nc2ncc3ccn(C4CCCC4)c3n2)cc1,0.0
CN(C)C(=O)c1cc2cnc(Nc3ccc(Cl)c(-c4nc5c(C(N)=O)cccc5[nH]4)c3)nc2n1C1CCCC1,6.4,1,0.0,6.4,6.4,2025,2025,1,1,c1cc(Nc2ncc3ccn(C4CCCC4)c3n2)cc(-c2nc3ccccc3[nH]2)c1,0.0
CNC(=O)c1ccc(N2CCN(CC3C(=O)c4c5c(nn4C)N(C)C(=O)NC5=C3F)CC2)c(F)n1,6.4,1,0.0,6.4,6.4,2024,2024,1,1,O=C1NC2=CC(CN3CCN(c4cccnc4)CC3)C(=O)c3[nH]nc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc(F)c4nc(C)c(=O)[nH]c4c3)CC2)c(Cl)n1,8.3,1,0.0,8.3,8.3,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc(F)c4nc(C)c(=O)[nH]c4c3)CC2)c(F)n1,8.3,1,0.0,8.3,8.3,2024,2024,1,1,O=c1cnc2ccc(CN3CCN(c4cccnc4)CC3)cc2[nH]1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)[nH]c(=O)n5C(C)C(=O)N4)CC2)c(C)n1,5.89,1,0.0,5.89,5.89,2024,2024,1,1,O=C1Cn2c(=O)[nH]c3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)ncn5C(C)C(=O)N4)CC2)c(C)n1,6.75,1,0.0,6.75,6.75,2024,2024,1,1,O=C1Cn2cnc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)ncn5C(C)C(=O)N4)CC2)c(Cl)n1,6.17,1,0.0,6.17,6.17,2024,2024,1,1,O=C1Cn2cnc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)ncn5C(C)C(=O)N4)CC2)c(F)n1,5.82,1,0.0,5.82,5.82,2024,2024,1,1,O=C1Cn2cnc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)nnn5C(C)C(=O)N4)CC2)c(F)n1,5.96,1,0.0,5.96,5.96,2024,2024,1,1,O=C1Cn2nnc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
