smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
C=CC(=O)N(C)c1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,6.53,1,0.0,6.53,6.53,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Nc2c(C)cccc2C)c(-c2cn(C)c(=O)c3ccccc23)c1,6.05,1,0.0,6.05,6.05,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Nc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Nc2c(F)cccc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,5.75,1,0.0,5.75,5.75,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Nc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Nc2ccc(C)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,5.67,1,0.0,5.67,5.67,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Nc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Nc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,6.05,1,0.0,6.05,6.05,2021,2021,1,1,O=c1ccc(-c2ccccc2Nc2ccccc2)c[nH]1,0.0
C=CC(=O)Nc1ccc(Nc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,5.715,2,0.07778174593051983,5.66,5.77,2021,2021,1,2,O=c1[nH]cc(-c2ccccc2Nc2ccccc2)c2ccccc12,0.10999999999999943
C=CC(=O)Nc1ccc(OC(C)C)c(-c2cc(NC)c(=O)n(C)c2)c1,6.11,1,0.0,6.11,6.11,2021,2021,1,1,O=c1ccc(-c2ccccc2)c[nH]1,0.0
C=CC(=O)Nc1ccc(OC(F)(F)F)c(-c2cn(C)c(=O)c3ccccc23)c1,5.49,1,0.0,5.49,5.49,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2c(C)cc(F)cc2C)c(-c2cc(NC)c(=O)n(C)c2)c1,7.07,2,0.9899494936611658,6.37,7.77,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,1.3999999999999995
C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3ccccc23)c1,5.635,2,0.8838834764831844,5.01,6.26,2021,2021,1,2,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,1.25
C=CC(=O)Nc1ccc(Oc2c(F)cccc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,7.11,1,0.0,7.11,7.11,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
