smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CC(=O)NNc1cc2c3c(n[nH]c(=O)c3c1)C1=C(CCCCC1)N2,7.23,1,0.0,7.23,7.23,2016,2016,1,1,O=c1[nH]nc2c3c(cccc13)NC1=C2CCCCC1,0.0
CC(=O)Nc1ccc(-c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)cc1,4.8,1,0.0,4.8,4.8,2015,2015,1,1,c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,0.0
CC(=O)Nc1ccc(-c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)cn1,7.31,1,0.0,7.31,7.31,2015,2015,1,1,c1cncc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)c1,0.0
CC(=O)Nc1ccc(C2Nc3cc(F)cc4c(=O)[nH]nc(c34)C2c2ncnn2C)cc1,8.68,1,0.0,8.68,8.68,2016,2016,1,1,O=c1[nH]nc2c3c(cccc13)NC(c1ccccc1)C2c1ncn[nH]1,0.0
CC(=O)Nc1ccc(COc2ccc(-c3ccc(-c4nc5c(C(=O)O)cc(C)cc5[nH]4)cc3)cc2)cc1,4.36,1,0.0,4.36,4.36,2015,2015,1,1,c1ccc(COc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)cc1,0.0
CC(=O)Nc1cccc(-c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)c1,6.34,1,0.0,6.34,6.34,2015,2015,1,1,c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,0.0
CC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.05,1,0.0,7.05,7.05,2005,2005,1,1,O=c1[nH]nc(Cc2ccccc2)c2ccccc12,0.0
CC(=O)Nc1ccccc1-c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,6.85,1,0.0,6.85,6.85,2015,2015,1,1,c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,0.0
CC(=O)Nc1ccccc1COc1ccc(-c2ccc(-c3nc4c(C(=O)O)cc(C)cc4[nH]3)cc2)cc1,4.97,1,0.0,4.97,4.97,2015,2015,1,1,c1ccc(COc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)cc1,0.0
CC(=O)Nc1cnc(N2CCN(c3nc4c(C(N)=O)cccc4[nH]3)CC2)nc1,6.97,1,0.0,6.97,6.97,2019,2019,1,1,c1cnc(N2CCN(c3nc4ccccc4[nH]3)CC2)nc1,0.0
CC(=O)Oc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,7.44,1,0.0,7.44,7.44,2005,2005,1,1,O=c1[nH]nc(Cc2ccccc2)c2ccccc12,0.0
CC(=O)c1cc(C#N)ccc1N1CCN(Cc2ccc3c4c(c(=O)[nH]c3c2)CCCN4)CC1,8.18,1,0.0,8.18,8.18,2019,2019,1,1,O=c1[nH]c2cc(CN3CCN(c4ccccc4)CC3)ccc2c2c1CCCN2,0.0
CC(C)(C)C(=O)N1CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,8.14,1,0.0,8.14,8.14,2016,2016,1,1,O=C1NN=C2CNCc3[nH]c4cccc1c4c32,0.0
CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,9.0,1,0.0,9.0,9.0,2010,2010,1,1,O=C(c1cccc(Cc2c[nH]c(=O)c3cccn23)c1)N1CCNCC1,0.0
CC(C)(C)C(=O)N1CCP(=O)(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,6.26,1,0.0,6.26,6.26,2022,2022,1,1,O=c1[nH]nc(Cc2cccc(P3(=O)CCNCC3)c2)c2ccccc12,0.0
CC(C)(C)C(=O)ON[C@@H](Cc1ccccc1)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,4.0,1,0.0,4.0,4.0,2017,2017,1,1,O=C1NN=C2CN(C(=O)CCc3ccccc3)Cc3[nH]c4cccc1c4c32,0.0
CC(C)(C)C1NCCc2cc(-c3cnn4c(C(N)=O)cc(Cl)c4c3)sc21,5.99,1,0.0,5.99,5.99,2021,2021,1,1,c1cc2cc(-c3cc4c(s3)CNCC4)cnn2c1,0.0
CC(C)(C)C1NCCc2cc(-c3nc4c(C(N)=O)cc(F)cc4[nH]3)sc21,7.6,1,0.0,7.6,7.6,2018,2018,1,1,c1ccc2[nH]c(-c3cc4c(s3)CNCC4)nc2c1,0.0
CC(C)(C)C1NCCc2sc(-c3cnn4c(C(N)=O)cc(Cl)c4c3)cc21,6.36,1,0.0,6.36,6.36,2021,2021,1,1,c1cc2cc(-c3cc4c(s3)CCNC4)cnn2c1,0.0
CC(C)(C)CCN1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,7.85,1,0.0,7.85,7.85,2016,2016,1,1,O=C1NN=C2CNCc3[nH]c4cccc1c4c32,0.0
CC(C)(C)CN1CCP(=O)(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,6.26,1,0.0,6.26,6.26,2022,2022,1,1,O=c1[nH]nc(Cc2cccc(P3(=O)CCNCC3)c2)c2ccccc12,0.0
CC(C)(C)NCc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,7.12,1,0.0,7.12,7.12,2016,2016,1,1,O=C1NCCn2c(-c3ccccc3)nc3cncc1c32,0.0
CC(C)(C)OC(=O)N1CCC2=C(C1)Nc1cccc3c(=O)[nH]nc2c13,8.29,1,0.0,8.29,8.29,2016,2016,1,1,O=c1[nH]nc2c3c(cccc13)NC1=C2CCNC1,0.0
CC(C)(C)OC(=O)N1CCCN(CC2=Nc3cccc4c(=O)[nH]nc(c34)N2)CC1,7.29,1,0.0,7.29,7.29,2014,2014,1,1,O=c1[nH]nc2c3c(cccc13)N=C(CN1CCCNCC1)N2,0.0
CC(C)(C)OC(=O)N1CCN(C(=O)CCC(=O)c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)CC1,8.0,1,0.0,8.0,8.0,2012,2012,1,1,O=C(CCC(=O)N1CCNCC1)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,0.0
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1,6.11,1,0.0,6.11,6.11,2003,2003,1,1,c1ccc2c(c1)cnc1ccc(N3CC4CC3CN4)nc12,0.0
CC(C)(C)OC(=O)NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,8.93,1,0.0,8.93,8.93,2022,2022,1,1,O=C1NCCc2c(-c3ccc(CN4CCCCC4)cc3)[nH]c3cccc1c23,0.0
CC(C)(C)OC(=O)NCC1=Nc2cccc3c(=O)[nH]nc(c23)N1,7.33,1,0.0,7.33,7.33,2014,2014,1,1,O=c1[nH]nc2c3c(cccc13)N=CN2,0.0
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)NCc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,6.17,1,0.0,6.17,6.17,2006,2006,1,1,O=C1NCc2c1c1c(c3[nH]c4ccccc4c23)CCC1,0.0
CC(C)(C)OC(=O)NCCNC(=O)CCC(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,7.8,1,0.0,7.8,7.8,2012,2012,1,1,O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCC1,0.0
